object,theta,n_gate,k,pct,ci_lo,ci_hi
box,0.0,197,0,0.0,1.734723475976807e-16,1.912751143189459
box,45.0,171,1,0.5847953216374269,0.10330277288595376,3.237778525843868
box,90.0,229,8,3.493449781659389,1.7805976520917792,6.7409036603884624
cylinder,0.0,286,114,39.86013986013986,34.35621473551722,45.632855156451356
cylinder,45.0,282,91,32.269503546099294,27.08277899895769,37.932810054560065
cylinder,90.0,249,84,33.734939759036145,28.148902425152578,39.81523005937528
mustard,0.0,85,47,55.294117647058826,44.72387121130747,65.40651815583584
mustard,45.0,93,34,36.55913978494624,27.485550935138846,46.699096984763344
mustard,90.0,56,1,1.7857142857142858,0.31591289644639853,9.445858179193289
