sigma_d,n,mean_e_success,mean_e_fail,corr
0.0,90,0.08321966101694915,0.11940516129032258,-0.43738086152506855
0.0025,142,0.07471691588785048,0.1097102857142857,-0.39591769170485475
0.005,152,0.07327126050420169,0.09351575757575756,-0.2601007491831132
0.01,157,0.07316761904761904,0.08096534246575343,-0.14299458703355492
0.015,154,0.057743749999999996,0.06317897260273973,-0.041034964416850506
0.02,365,0.05545,0.05166900826446281,0.010408195748365478
0.04,588,0.02052,0.06746989778534923,-0.046738593808905216
