variable,level,n,P_has_grasps,P_success_given_has_grasps,P_success_total_direct,P_success_total_reconstructed,reconstruction_error
sigma_d,0.0,107,0.9252336448598131,0.7676767676767676,0.7102803738317757,0.7102803738317757,0.0
sigma_d,0.005,107,0.9252336448598131,0.46464646464646464,0.42990654205607476,0.42990654205607476,0.0
sigma_d,0.02,108,0.7129629629629629,0.15584415584415584,0.1111111111111111,0.1111111111111111,0.0
sigma_d,0.04,104,0.09615384615384616,0.0,0.0,0.0,0.0
