,mean,std
C_pc_R2,0.8914693136360562,0.0043329758143187
C_pc_RMSE,0.0015480090863965366,9.437410875855059e-05
has_grasps_AUC,0.9373034895744216,0.03666817259813371
q_grasp_R2,0.670130528204024,0.0854394740421182
q_grasp_RMSE,0.02490634070951775,0.0014039498333313753
e_pose_R2,0.5904240489217989,0.07484426545758358
e_pose_RMSE,0.028713905496296627,0.0019424919657129566
