sigma_d,n,C_pc,q_grasp,e_pose,e_pose_sd,n_grasps
0.0,1026,0.01619775828460039,0.2371205068226121,0.07450513645224172,0.03629746156320827,49.16471734892787
0.0025,1078,0.016132365491651205,0.2600165955473098,0.06702899814471243,0.03274983102890053,44.0899814471243
0.005,1075,0.016141953488372093,0.26640152558139535,0.06484605581395349,0.02893750878352367,38.49581395348837
0.01,1070,0.016128392523364486,0.2656439065420561,0.058341224299065415,0.028130725148441265,36.967289719626166
0.015,1055,0.016102492890995263,0.2540815639810427,0.0491085308056872,0.02885312156630987,28.562085308056872
0.02,1052,0.016174467680608366,0.2476966730038023,0.04827400190114069,0.02849350934239404,16.878326996197718
0.04,793,0.0165921815889029,0.21003307692307693,0.06114814627994956,0.03952740468242343,5.261034047919294
