node,parents,phi,theta,stat,value,ci_lo,ci_hi,n,sigma_d,rho
has_grasps,"sigma_d,rho,phi,theta",30.0,0.0,proportion,1.0,0.43849391955098227,1.0,3,0.005,0.25
has_grasps,"sigma_d,rho,phi,theta",30.0,45.0,proportion,1.0,0.43849391955098227,1.0,3,0.005,0.25
has_grasps,"sigma_d,rho,phi,theta",30.0,90.0,proportion,1.0,0.43849391955098227,1.0,3,0.005,0.25
has_grasps,"sigma_d,rho,phi,theta",45.0,0.0,proportion,1.0,0.43849391955098227,1.0,3,0.005,0.25
has_grasps,"sigma_d,rho,phi,theta",45.0,45.0,proportion,1.0,0.43849391955098227,1.0,3,0.005,0.25
has_grasps,"sigma_d,rho,phi,theta",45.0,90.0,proportion,1.0,0.43849391955098227,1.0,3,0.005,0.25
has_grasps,"sigma_d,rho,phi,theta",60.0,0.0,proportion,0.3333333333333333,0.0614903152761605,0.7923450448735121,3,0.005,0.25
has_grasps,"sigma_d,rho,phi,theta",60.0,45.0,proportion,1.0,0.43849391955098227,1.0,3,0.005,0.25
has_grasps,"sigma_d,rho,phi,theta",60.0,90.0,proportion,1.0,0.43849391955098227,1.0,3,0.005,0.25
has_grasps,"sigma_d,rho,phi,theta",30.0,0.0,proportion,1.0,0.43849391955098227,1.0,3,0.005,0.5
has_grasps,"sigma_d,rho,phi,theta",30.0,45.0,proportion,1.0,0.43849391955098227,1.0,3,0.005,0.5
has_grasps,"sigma_d,rho,phi,theta",30.0,90.0,proportion,1.0,0.43849391955098227,1.0,3,0.005,0.5
has_grasps,"sigma_d,rho,phi,theta",45.0,0.0,proportion,1.0,0.43849391955098227,1.0,3,0.005,0.5
has_grasps,"sigma_d,rho,phi,theta",45.0,45.0,proportion,1.0,0.43849391955098227,1.0,3,0.005,0.5
has_grasps,"sigma_d,rho,phi,theta",45.0,90.0,proportion,1.0,0.43849391955098227,1.0,3,0.005,0.5
has_grasps,"sigma_d,rho,phi,theta",60.0,0.0,proportion,0.3333333333333333,0.0614903152761605,0.7923450448735121,3,0.005,0.5
has_grasps,"sigma_d,rho,phi,theta",60.0,45.0,proportion,1.0,0.43849391955098227,1.0,3,0.005,0.5
has_grasps,"sigma_d,rho,phi,theta",60.0,90.0,proportion,1.0,0.43849391955098227,1.0,3,0.005,0.5
has_grasps,"sigma_d,rho,phi,theta",30.0,0.0,proportion,1.0,0.43849391955098227,1.0,3,0.005,0.75
has_grasps,"sigma_d,rho,phi,theta",30.0,45.0,proportion,1.0,0.43849391955098227,1.0,3,0.005,0.75
has_grasps,"sigma_d,rho,phi,theta",30.0,90.0,proportion,1.0,0.34237195288961925,1.0,2,0.005,0.75
has_grasps,"sigma_d,rho,phi,theta",45.0,0.0,proportion,1.0,0.43849391955098227,1.0,3,0.005,0.75
has_grasps,"sigma_d,rho,phi,theta",45.0,45.0,proportion,1.0,0.43849391955098227,1.0,3,0.005,0.75
has_grasps,"sigma_d,rho,phi,theta",45.0,90.0,proportion,1.0,0.43849391955098227,1.0,3,0.005,0.75
has_grasps,"sigma_d,rho,phi,theta",60.0,0.0,proportion,0.6666666666666666,0.2076549551264879,0.9385096847238394,3,0.005,0.75
has_grasps,"sigma_d,rho,phi,theta",60.0,45.0,proportion,1.0,0.43849391955098227,1.0,3,0.005,0.75
has_grasps,"sigma_d,rho,phi,theta",60.0,90.0,proportion,1.0,0.43849391955098227,1.0,3,0.005,0.75
has_grasps,"sigma_d,rho,phi,theta",30.0,0.0,proportion,1.0,0.43849391955098227,1.0,3,0.005,1.0
has_grasps,"sigma_d,rho,phi,theta",30.0,45.0,proportion,1.0,0.43849391955098227,1.0,3,0.005,1.0
has_grasps,"sigma_d,rho,phi,theta",30.0,90.0,proportion,1.0,0.43849391955098227,1.0,3,0.005,1.0
has_grasps,"sigma_d,rho,phi,theta",45.0,0.0,proportion,1.0,0.43849391955098227,1.0,3,0.005,1.0
has_grasps,"sigma_d,rho,phi,theta",45.0,45.0,proportion,1.0,0.43849391955098227,1.0,3,0.005,1.0
has_grasps,"sigma_d,rho,phi,theta",45.0,90.0,proportion,1.0,0.43849391955098227,1.0,3,0.005,1.0
has_grasps,"sigma_d,rho,phi,theta",60.0,0.0,proportion,0.0,0.0,0.5615060804490177,3,0.005,1.0
has_grasps,"sigma_d,rho,phi,theta",60.0,45.0,proportion,1.0,0.43849391955098227,1.0,3,0.005,1.0
has_grasps,"sigma_d,rho,phi,theta",60.0,90.0,proportion,1.0,0.43849391955098227,1.0,3,0.005,1.0
has_grasps,"sigma_d,rho,phi,theta",30.0,0.0,proportion,1.0,0.43849391955098227,1.0,3,0.02,0.25
has_grasps,"sigma_d,rho,phi,theta",30.0,45.0,proportion,0.6666666666666666,0.2076549551264879,0.9385096847238394,3,0.02,0.25
has_grasps,"sigma_d,rho,phi,theta",30.0,90.0,proportion,0.6666666666666666,0.2076549551264879,0.9385096847238394,3,0.02,0.25
has_grasps,"sigma_d,rho,phi,theta",45.0,0.0,proportion,1.0,0.43849391955098227,1.0,3,0.02,0.25
has_grasps,"sigma_d,rho,phi,theta",45.0,45.0,proportion,0.6666666666666666,0.2076549551264879,0.9385096847238394,3,0.02,0.25
has_grasps,"sigma_d,rho,phi,theta",45.0,90.0,proportion,0.3333333333333333,0.0614903152761605,0.7923450448735121,3,0.02,0.25
has_grasps,"sigma_d,rho,phi,theta",60.0,0.0,proportion,0.0,0.0,0.5615060804490177,3,0.02,0.25
has_grasps,"sigma_d,rho,phi,theta",60.0,45.0,proportion,0.6666666666666666,0.2076549551264879,0.9385096847238394,3,0.02,0.25
has_grasps,"sigma_d,rho,phi,theta",60.0,90.0,proportion,0.0,0.0,0.5615060804490177,3,0.02,0.25
has_grasps,"sigma_d,rho,phi,theta",30.0,0.0,proportion,1.0,0.43849391955098227,1.0,3,0.02,0.5
has_grasps,"sigma_d,rho,phi,theta",30.0,45.0,proportion,0.6666666666666666,0.2076549551264879,0.9385096847238394,3,0.02,0.5
has_grasps,"sigma_d,rho,phi,theta",30.0,90.0,proportion,1.0,0.43849391955098227,1.0,3,0.02,0.5
has_grasps,"sigma_d,rho,phi,theta",45.0,0.0,proportion,1.0,0.43849391955098227,1.0,3,0.02,0.5
has_grasps,"sigma_d,rho,phi,theta",45.0,45.0,proportion,1.0,0.43849391955098227,1.0,3,0.02,0.5
has_grasps,"sigma_d,rho,phi,theta",45.0,90.0,proportion,0.6666666666666666,0.2076549551264879,0.9385096847238394,3,0.02,0.5
has_grasps,"sigma_d,rho,phi,theta",60.0,0.0,proportion,0.3333333333333333,0.0614903152761605,0.7923450448735121,3,0.02,0.5
has_grasps,"sigma_d,rho,phi,theta",60.0,45.0,proportion,1.0,0.43849391955098227,1.0,3,0.02,0.5
has_grasps,"sigma_d,rho,phi,theta",60.0,90.0,proportion,0.3333333333333333,0.0614903152761605,0.7923450448735121,3,0.02,0.5
has_grasps,"sigma_d,rho,phi,theta",30.0,0.0,proportion,1.0,0.43849391955098227,1.0,3,0.02,0.75
has_grasps,"sigma_d,rho,phi,theta",30.0,45.0,proportion,1.0,0.43849391955098227,1.0,3,0.02,0.75
has_grasps,"sigma_d,rho,phi,theta",30.0,90.0,proportion,1.0,0.43849391955098227,1.0,3,0.02,0.75
has_grasps,"sigma_d,rho,phi,theta",45.0,0.0,proportion,1.0,0.43849391955098227,1.0,3,0.02,0.75
has_grasps,"sigma_d,rho,phi,theta",45.0,45.0,proportion,1.0,0.43849391955098227,1.0,3,0.02,0.75
has_grasps,"sigma_d,rho,phi,theta",45.0,90.0,proportion,0.6666666666666666,0.2076549551264879,0.9385096847238394,3,0.02,0.75
has_grasps,"sigma_d,rho,phi,theta",60.0,0.0,proportion,0.0,0.0,0.5615060804490177,3,0.02,0.75
has_grasps,"sigma_d,rho,phi,theta",60.0,45.0,proportion,1.0,0.43849391955098227,1.0,3,0.02,0.75
has_grasps,"sigma_d,rho,phi,theta",60.0,90.0,proportion,0.3333333333333333,0.0614903152761605,0.7923450448735121,3,0.02,0.75
has_grasps,"sigma_d,rho,phi,theta",30.0,0.0,proportion,1.0,0.43849391955098227,1.0,3,0.02,1.0
has_grasps,"sigma_d,rho,phi,theta",30.0,45.0,proportion,1.0,0.43849391955098227,1.0,3,0.02,1.0
has_grasps,"sigma_d,rho,phi,theta",30.0,90.0,proportion,1.0,0.43849391955098227,1.0,3,0.02,1.0
has_grasps,"sigma_d,rho,phi,theta",45.0,0.0,proportion,1.0,0.43849391955098227,1.0,3,0.02,1.0
has_grasps,"sigma_d,rho,phi,theta",45.0,45.0,proportion,0.6666666666666666,0.2076549551264879,0.9385096847238394,3,0.02,1.0
has_grasps,"sigma_d,rho,phi,theta",45.0,90.0,proportion,0.3333333333333333,0.0614903152761605,0.7923450448735121,3,0.02,1.0
has_grasps,"sigma_d,rho,phi,theta",60.0,0.0,proportion,0.3333333333333333,0.0614903152761605,0.7923450448735121,3,0.02,1.0
has_grasps,"sigma_d,rho,phi,theta",60.0,45.0,proportion,1.0,0.43849391955098227,1.0,3,0.02,1.0
has_grasps,"sigma_d,rho,phi,theta",60.0,90.0,proportion,0.3333333333333333,0.0614903152761605,0.7923450448735121,3,0.02,1.0
has_grasps,"sigma_d,rho,phi,theta",30.0,0.0,proportion,0.3333333333333333,0.0614903152761605,0.7923450448735121,3,0.04,0.25
has_grasps,"sigma_d,rho,phi,theta",30.0,45.0,proportion,0.3333333333333333,0.0614903152761605,0.7923450448735121,3,0.04,0.25
has_grasps,"sigma_d,rho,phi,theta",30.0,90.0,proportion,0.0,0.0,0.5615060804490177,3,0.04,0.25
has_grasps,"sigma_d,rho,phi,theta",45.0,0.0,proportion,0.0,0.0,0.5615060804490177,3,0.04,0.25
has_grasps,"sigma_d,rho,phi,theta",45.0,45.0,proportion,0.0,0.0,0.5615060804490177,3,0.04,0.25
has_grasps,"sigma_d,rho,phi,theta",45.0,90.0,proportion,0.0,0.0,0.5615060804490177,3,0.04,0.25
has_grasps,"sigma_d,rho,phi,theta",60.0,0.0,proportion,0.0,0.0,0.5615060804490177,3,0.04,0.25
has_grasps,"sigma_d,rho,phi,theta",60.0,45.0,proportion,0.0,0.0,0.5615060804490177,3,0.04,0.25
has_grasps,"sigma_d,rho,phi,theta",60.0,90.0,proportion,0.0,0.0,0.5615060804490177,3,0.04,0.25
has_grasps,"sigma_d,rho,phi,theta",30.0,0.0,proportion,0.3333333333333333,0.0614903152761605,0.7923450448735121,3,0.04,0.5
has_grasps,"sigma_d,rho,phi,theta",30.0,45.0,proportion,0.0,0.0,0.5615060804490177,3,0.04,0.5
has_grasps,"sigma_d,rho,phi,theta",30.0,90.0,proportion,0.6666666666666666,0.2076549551264879,0.9385096847238394,3,0.04,0.5
has_grasps,"sigma_d,rho,phi,theta",45.0,0.0,proportion,0.0,0.0,0.5615060804490177,3,0.04,0.5
has_grasps,"sigma_d,rho,phi,theta",45.0,45.0,proportion,0.0,0.0,0.5615060804490177,3,0.04,0.5
has_grasps,"sigma_d,rho,phi,theta",45.0,90.0,proportion,0.0,0.0,0.5615060804490177,3,0.04,0.5
has_grasps,"sigma_d,rho,phi,theta",60.0,0.0,proportion,0.0,0.0,0.5615060804490177,3,0.04,0.5
has_grasps,"sigma_d,rho,phi,theta",60.0,45.0,proportion,0.0,0.0,0.5615060804490177,3,0.04,0.5
has_grasps,"sigma_d,rho,phi,theta",60.0,90.0,proportion,0.0,0.0,0.5615060804490177,3,0.04,0.5
has_grasps,"sigma_d,rho,phi,theta",30.0,0.0,proportion,0.0,0.0,0.5615060804490177,3,0.04,0.75
has_grasps,"sigma_d,rho,phi,theta",30.0,45.0,proportion,1.0,0.20654329147389294,1.0,1,0.04,0.75
has_grasps,"sigma_d,rho,phi,theta",30.0,90.0,proportion,0.0,0.0,0.6576280471103807,2,0.04,0.75
has_grasps,"sigma_d,rho,phi,theta",45.0,0.0,proportion,0.0,0.0,0.5615060804490177,3,0.04,0.75
has_grasps,"sigma_d,rho,phi,theta",45.0,45.0,proportion,0.0,0.0,0.5615060804490177,3,0.04,0.75
has_grasps,"sigma_d,rho,phi,theta",45.0,90.0,proportion,0.0,0.0,0.5615060804490177,3,0.04,0.75
has_grasps,"sigma_d,rho,phi,theta",60.0,0.0,proportion,0.0,0.0,0.5615060804490177,3,0.04,0.75
has_grasps,"sigma_d,rho,phi,theta",60.0,45.0,proportion,0.0,0.0,0.5615060804490177,3,0.04,0.75
has_grasps,"sigma_d,rho,phi,theta",60.0,90.0,proportion,0.0,0.0,0.5615060804490177,3,0.04,0.75
has_grasps,"sigma_d,rho,phi,theta",30.0,0.0,proportion,0.0,0.0,0.5615060804490177,3,0.04,1.0
has_grasps,"sigma_d,rho,phi,theta",30.0,45.0,proportion,1.0,0.43849391955098227,1.0,3,0.04,1.0
has_grasps,"sigma_d,rho,phi,theta",30.0,90.0,proportion,0.3333333333333333,0.0614903152761605,0.7923450448735121,3,0.04,1.0
has_grasps,"sigma_d,rho,phi,theta",45.0,0.0,proportion,0.0,0.0,0.5615060804490177,3,0.04,1.0
has_grasps,"sigma_d,rho,phi,theta",45.0,45.0,proportion,0.0,0.0,0.5615060804490177,3,0.04,1.0
has_grasps,"sigma_d,rho,phi,theta",45.0,90.0,proportion,0.0,0.0,0.5615060804490177,3,0.04,1.0
has_grasps,"sigma_d,rho,phi,theta",60.0,0.0,proportion,0.0,0.0,0.5615060804490177,3,0.04,1.0
has_grasps,"sigma_d,rho,phi,theta",60.0,45.0,proportion,0.0,0.0,0.5615060804490177,3,0.04,1.0
has_grasps,"sigma_d,rho,phi,theta",60.0,90.0,proportion,0.0,0.0,0.6576280471103807,2,0.04,1.0
n_grasps,"sigma_d,rho,phi,theta | has_grasps=1",30.0,0.0,mean,50.666666666666664,43.30397392253803,58.0293594107953,3,0.0,0.25
n_grasps,"sigma_d,rho,phi,theta | has_grasps=1",30.0,45.0,mean,4.666666666666667,2.938109143437801,6.395224189895533,3,0.0,0.25
n_grasps,"sigma_d,rho,phi,theta | has_grasps=1",30.0,90.0,mean,6.333333333333333,2.876218286875601,9.790448379791066,3,0.0,0.25
n_grasps,"sigma_d,rho,phi,theta | has_grasps=1",45.0,0.0,mean,35.333333333333336,26.543632289245178,44.12303437742149,3,0.0,0.25
n_grasps,"sigma_d,rho,phi,theta | has_grasps=1",45.0,45.0,mean,15.333333333333334,11.049140164122694,19.617526502543974,3,0.0,0.25
n_grasps,"sigma_d,rho,phi,theta | has_grasps=1",45.0,90.0,mean,7.333333333333333,6.68,7.986666666666666,3,0.0,0.25
n_grasps,"sigma_d,rho,phi,theta | has_grasps=1",60.0,45.0,mean,24.666666666666668,18.434263884075957,30.89906944925738,3,0.0,0.25
n_grasps,"sigma_d,rho,phi,theta | has_grasps=1",60.0,90.0,mean,10.666666666666666,6.692595146871829,14.640738186461503,3,0.0,0.25
n_grasps,"sigma_d,rho,phi,theta | has_grasps=1",30.0,0.0,mean,102.33333333333333,99.48551935688675,105.1811473097799,3,0.0,0.5
n_grasps,"sigma_d,rho,phi,theta | has_grasps=1",30.0,45.0,mean,8.0,6.868393472388333,9.131606527611666,3,0.0,0.5
n_grasps,"sigma_d,rho,phi,theta | has_grasps=1",30.0,90.0,mean,9.0,4.91993464104638,13.08006535895362,3,0.0,0.5
n_grasps,"sigma_d,rho,phi,theta | has_grasps=1",45.0,0.0,mean,57.5,52.6,62.4,2,0.0,0.5
n_grasps,"sigma_d,rho,phi,theta | has_grasps=1",45.0,45.0,mean,34.333333333333336,30.3592618135385,38.307404853128176,3,0.0,0.5
n_grasps,"sigma_d,rho,phi,theta | has_grasps=1",45.0,90.0,mean,14.666666666666666,9.44,19.89333333333333,3,0.0,0.5
n_grasps,"sigma_d,rho,phi,theta | has_grasps=1",60.0,0.0,mean,1.0,1.0,1.0,1,0.0,0.5
n_grasps,"sigma_d,rho,phi,theta | has_grasps=1",60.0,45.0,mean,39.0,36.00605054596218,41.99394945403782,3,0.0,0.5
n_grasps,"sigma_d,rho,phi,theta | has_grasps=1",60.0,90.0,mean,19.333333333333332,16.97770650003019,21.688960166636473,3,0.0,0.5
n_grasps,"sigma_d,rho,phi,theta | has_grasps=1",30.0,0.0,mean,144.0,136.16,151.84,3,0.0,0.75
n_grasps,"sigma_d,rho,phi,theta | has_grasps=1",30.0,45.0,mean,10.333333333333334,9.68,10.986666666666668,3,0.0,0.75
n_grasps,"sigma_d,rho,phi,theta | has_grasps=1",30.0,90.0,mean,12.333333333333334,3.256936593559459,21.40973007310721,3,0.0,0.75
n_grasps,"sigma_d,rho,phi,theta | has_grasps=1",45.0,0.0,mean,94.66666666666667,81.64909222115477,107.68424111217857,3,0.0,0.75
n_grasps,"sigma_d,rho,phi,theta | has_grasps=1",45.0,45.0,mean,44.666666666666664,42.9381091434378,46.39522418989553,3,0.0,0.75
n_grasps,"sigma_d,rho,phi,theta | has_grasps=1",45.0,90.0,mean,20.666666666666668,17.818852690220094,23.51448064311324,3,0.0,0.75
n_grasps,"sigma_d,rho,phi,theta | has_grasps=1",60.0,0.0,mean,1.0,1.0,1.0,3,0.0,0.75
n_grasps,"sigma_d,rho,phi,theta | has_grasps=1",60.0,45.0,mean,76.33333333333333,70.10093055074262,82.56573611592404,3,0.0,0.75
n_grasps,"sigma_d,rho,phi,theta | has_grasps=1",60.0,90.0,mean,21.333333333333332,15.637705380440185,27.02896128622648,3,0.0,0.75
n_grasps,"sigma_d,rho,phi,theta | has_grasps=1",30.0,0.0,mean,90.66666666666667,79.05275929470764,102.2805740386257,3,0.0,1.0
n_grasps,"sigma_d,rho,phi,theta | has_grasps=1",30.0,45.0,mean,17.0,12.067441502289777,21.932558497710225,3,0.0,1.0
n_grasps,"sigma_d,rho,phi,theta | has_grasps=1",30.0,90.0,mean,9.666666666666666,3.8597129806871475,15.473620352646185,3,0.0,1.0
n_grasps,"sigma_d,rho,phi,theta | has_grasps=1",45.0,0.0,mean,121.66666666666667,115.85971298068715,127.4736203526462,3,0.0,1.0
n_grasps,"sigma_d,rho,phi,theta | has_grasps=1",45.0,45.0,mean,58.333333333333336,52.63770538044019,64.02896128622649,3,0.0,1.0
n_grasps,"sigma_d,rho,phi,theta | has_grasps=1",45.0,90.0,mean,27.333333333333332,21.985569522376665,32.68109714429,3,0.0,1.0
n_grasps,"sigma_d,rho,phi,theta | has_grasps=1",60.0,45.0,mean,41.333333333333336,40.68,41.98666666666667,3,0.0,1.0
n_grasps,"sigma_d,rho,phi,theta | has_grasps=1",60.0,90.0,mean,7.333333333333333,6.68,7.986666666666666,3,0.0,1.0
n_grasps,"sigma_d,rho,phi,theta | has_grasps=1",30.0,0.0,mean,30.333333333333332,24.637705380440185,36.028961286226476,3,0.005,0.25
n_grasps,"sigma_d,rho,phi,theta | has_grasps=1",30.0,45.0,mean,4.666666666666667,2.938109143437801,6.395224189895533,3,0.005,0.25
n_grasps,"sigma_d,rho,phi,theta | has_grasps=1",30.0,90.0,mean,6.0,3.7367869447766666,8.263213055223334,3,0.005,0.25
n_grasps,"sigma_d,rho,phi,theta | has_grasps=1",45.0,0.0,mean,19.333333333333332,11.970640589204697,26.696026077461966,3,0.005,0.25
n_grasps,"sigma_d,rho,phi,theta | has_grasps=1",45.0,45.0,mean,12.333333333333334,8.359261813538497,16.307404853128173,3,0.005,0.25
n_grasps,"sigma_d,rho,phi,theta | has_grasps=1",45.0,90.0,mean,7.333333333333333,3.695727282951052,10.970939383715614,3,0.005,0.25
n_grasps,"sigma_d,rho,phi,theta | has_grasps=1",60.0,0.0,mean,1.0,1.0,1.0,1,0.005,0.25
n_grasps,"sigma_d,rho,phi,theta | has_grasps=1",60.0,45.0,mean,15.0,12.736786944776666,17.263213055223332,3,0.005,0.25
n_grasps,"sigma_d,rho,phi,theta | has_grasps=1",60.0,90.0,mean,7.333333333333333,4.72,9.946666666666665,3,0.005,0.25
n_grasps,"sigma_d,rho,phi,theta | has_grasps=1",30.0,0.0,mean,57.333333333333336,50.89874623615988,63.76792043050679,3,0.005,0.5
n_grasps,"sigma_d,rho,phi,theta | has_grasps=1",30.0,45.0,mean,14.666666666666666,12.9381091434378,16.395224189895533,3,0.005,0.5
n_grasps,"sigma_d,rho,phi,theta | has_grasps=1",30.0,90.0,mean,14.0,8.814327430313401,19.1856725696866,3,0.005,0.5
n_grasps,"sigma_d,rho,phi,theta | has_grasps=1",45.0,0.0,mean,44.666666666666664,41.02906061628438,48.304272717048946,3,0.005,0.5
n_grasps,"sigma_d,rho,phi,theta | has_grasps=1",45.0,45.0,mean,22.0,20.868393472388334,23.131606527611666,3,0.005,0.5
n_grasps,"sigma_d,rho,phi,theta | has_grasps=1",45.0,90.0,mean,12.666666666666666,7.955413000060386,17.377920333272947,3,0.005,0.5
n_grasps,"sigma_d,rho,phi,theta | has_grasps=1",60.0,0.0,mean,1.0,1.0,1.0,1,0.005,0.5
n_grasps,"sigma_d,rho,phi,theta | has_grasps=1",60.0,45.0,mean,24.666666666666668,20.69259514687183,28.640738186461505,3,0.005,0.5
n_grasps,"sigma_d,rho,phi,theta | has_grasps=1",60.0,90.0,mean,15.333333333333334,12.977706500030195,17.688960166636473,3,0.005,0.5
n_grasps,"sigma_d,rho,phi,theta | has_grasps=1",30.0,0.0,mean,81.66666666666667,79.31103983336354,84.0222934999698,3,0.005,0.75
n_grasps,"sigma_d,rho,phi,theta | has_grasps=1",30.0,45.0,mean,18.333333333333332,16.604775810104467,20.061890856562197,3,0.005,0.75
n_grasps,"sigma_d,rho,phi,theta | has_grasps=1",30.0,90.0,mean,13.0,13.0,13.0,2,0.005,0.75
n_grasps,"sigma_d,rho,phi,theta | has_grasps=1",45.0,0.0,mean,66.33333333333333,63.485519356886755,69.1811473097799,3,0.005,0.75
n_grasps,"sigma_d,rho,phi,theta | has_grasps=1",45.0,45.0,mean,29.333333333333332,28.68,29.986666666666665,3,0.005,0.75
n_grasps,"sigma_d,rho,phi,theta | has_grasps=1",45.0,90.0,mean,19.333333333333332,13.751250886392544,24.91541578027412,3,0.005,0.75
n_grasps,"sigma_d,rho,phi,theta | has_grasps=1",60.0,0.0,mean,1.0,1.0,1.0,2,0.005,0.75
n_grasps,"sigma_d,rho,phi,theta | has_grasps=1",60.0,45.0,mean,30.0,24.012101091924368,35.98789890807563,3,0.005,0.75
