var,level,n,proposal_pct,proposal_ci_lo,proposal_ci_hi,proposal_k,proposal_n,gate_pct,gate_ci_lo,gate_ci_hi,gate_k,gate_n,exec_pct,exec_ci_lo,exec_ci_hi,exec_k,exec_n,marg_pct,marg_ci_lo,marg_ci_hi,marg_k,marg_n
sigma_d,0.0,1080,95.0,93.53319658799654,96.14780476865926,1026,1080,8.771929824561404,7.191133885321395,10.660310453303111,90,1026,65.55555555555556,55.283279348344,74.55423407853704,59,90,5.462962962962963,4.258673011530549,6.98296967869282,59,1080
sigma_d,0.0025,1080,99.81481481481481,99.32729753634634,99.9492019078529,1078,1080,13.172541743970315,11.283786756767956,15.322844010619802,142,1078,75.35211267605634,67.65806854113949,81.71056153422997,107,142,9.907407407407407,8.2651655652935,11.833859974969949,107,1080
sigma_d,0.005,1080,99.53703703703704,98.92081744907934,99.80209556699239,1075,1080,14.13953488372093,12.184134590861849,16.350323108952473,152,1075,78.28947368421052,71.0817283532132,84.10251000162917,119,152,11.018518518518519,9.28740634837353,13.02596490439994,119,1080
sigma_d,0.01,1080,99.07407407407408,98.30397669628208,99.49629227291045,1070,1080,14.672897196261681,12.67915800101852,16.919397316637273,157,1070,53.503184713375795,45.71076474232955,61.12826197712611,84,157,7.777777777777778,6.325945113056622,9.528917811562621,84,1080
sigma_d,0.015,1080,97.68518518518519,96.60510086741769,98.42723596113734,1055,1080,14.597156398104266,12.595004028480542,16.85620000430397,154,1055,5.194805194805195,2.6554613997815326,9.915115685093431,8,154,0.7407407407407407,0.37580982289625436,1.4548635891595292,8,1080
sigma_d,0.02,1080,97.4074074074074,96.2784709672713,98.20027943315623,1052,1080,34.6958174904943,31.87974548582066,37.623255721936275,365,1052,0.547945205479452,0.15039202796377477,1.9756154505852823,2,365,0.18518518518518517,0.05079809214710847,0.6727024636536655,2,1080
sigma_d,0.04,1080,73.42592592592592,70.71175832722123,75.97403044486504,793,1080,74.14880201765448,70.99022903403403,77.07453063714779,588,793,0.17006802721088435,0.030026721219230876,0.956994130305907,1,588,0.09259259259259259,0.01634631599744087,0.5226254304274979,1,1080
